timestamp_utc,instrument_symbol,open_price,high_price,low_price,close_price,interval_traded_volume,bid_volume_level_1,ask_volume_level_1,bid_distance_level_1,ask_distance_level_1,bid_volume_level_2,ask_volume_level_2,bid_distance_level_2,ask_distance_level_2,bid_volume_level_3,ask_volume_level_3,bid_distance_level_3,ask_distance_level_3,bid_volume_level_4,ask_volume_level_4,bid_distance_level_4,ask_distance_level_4,bid_volume_level_5,ask_volume_level_5,bid_distance_level_5,ask_distance_level_5,bid_volume_level_6,ask_volume_level_6,bid_distance_level_6,ask_distance_level_6,bid_volume_level_7,ask_volume_level_7,bid_distance_level_7,ask_distance_level_7,bid_volume_level_8,ask_volume_level_8,bid_distance_level_8,ask_distance_level_8,bid_volume_level_9,ask_volume_level_9,bid_distance_level_9,ask_distance_level_9,bid_volume_level_10,ask_volume_level_10,bid_distance_level_10,ask_distance_level_10
2026-02-14T23:55:00Z,ETH-USDT,2086.35,2086.35,2086.35,2086.35,111.493,65.7121,157.2739,0.2397,0.2397,72.9022,297.2385,0.719,0.719,106.9227,575.5682,1.1983,1.1983,146.0734,624.2618,1.6776,1.6776,441.2778,1054.8827,2.1569,2.1569,557.3028,1290.6557,2.6362,2.6362,831.7434,1642.2013,3.1155,3.1155,943.3254,1772.3815,3.5948,3.5948,1136.2209,2027.064,4.0741,4.0741,1248.5265,2240.6245,4.5534,4.5534
2026-02-15T00:00:00Z,ETH-USDT,2084.35,2084.35,2084.35,2084.35,117.568,138.7135,96.4225,0.2399,0.2399,154.7053,219.8555,0.7196,0.7196,206.6173,490.3578,1.1994,1.1994,344.0831,610.9285,1.6792,1.6792,647.2078,1019.5502,2.1589,2.1589,784.0802,1164.36,2.6387,2.6387,1075.1798,2096.9256,3.1185,3.1185,1320.4057,2446.2684,3.5982,3.5982,1392.3528,2494.7195,4.078,4.078,1803.0115,2703.0933,4.5578,4.5578
2026-02-15T00:05:00Z,ETH-USDT,2083.35,2083.35,2083.35,2083.35,143.7905,16.1678,271.4132,0.24,0.24,18.5408,640.0116,0.72,0.72,23.2609,764.7305,1.2,1.2,77.0997,1102.8001,1.68,1.68,339.3742,1138.928,2.16,2.16,463.9524,1492.9356,2.64,2.64,689.5867,1802.6475,3.12,3.12,734.8516,1852.8602,3.6,3.6,968.0734,1933.9359,4.08,4.08,1070.0514,2024.2678,4.56,4.56
2026-02-15T00:10:00Z,ETH-USDT,2082.45,2082.45,2082.45,2082.45,72.48475,47.5838,97.3857,0.2401,0.2401,220.4965,179.3416,0.7203,0.7203,350.94,236.9951,1.2005,1.2005,669.0741,345.8269,1.6807,1.6807,724.2721,469.8797,2.1609,2.1609,974.2605,672.1834,2.6411,2.6411,1009.4788,941.3472,3.1213,3.1213,1366.0274,1384.2472,3.6015,3.6015,1413.8609,1735.3905,4.0817,4.0817,1633.3343,2198.3966,4.5619,4.5619
2026-02-15T00:15:00Z,ETH-USDT,2086.85,2086.85,2086.85,2086.85,113.12785,19.0936,207.1621,0.2396,0.2396,26.8197,301.5813,0.7188,0.7188,143.9161,313.0238,1.198,1.198,278.1253,695.1563,1.6772,1.6772,349.3528,973.0433,2.1564,2.1564,610.0869,1151.5009,2.6356,2.6356,1007.6198,1394.4637,3.1147,3.1147,1213.4152,1435.0283,3.5939,3.5939,1269.2471,1556.3928,4.0731,4.0731,1654.6394,1939.4225,4.5523,4.5523
2026-02-15T00:20:00Z,ETH-USDT,2082.85,2082.85,2082.85,2082.85,72.9196,42.2368,103.6024,0.2401,0.2401,64.0198,245.4632,0.7202,0.7202,91.7163,500.7132,1.2003,1.2003,126.0655,658.9358,1.6804,1.6804,163.3844,1063.0089,2.1605,2.1605,749.319,1115.9726,2.6406,2.6406,809.4691,1331.5151,3.1207,3.1207,964.6043,1387.8712,3.6008,3.6008,1095.2377,1786.7197,4.0809,4.0809,1491.9241,1877.581,4.5611,4.5611
2026-02-15T00:25:00Z,ETH-USDT,2080.95,2080.95,2080.95,2080.95,80.41735,42.5477,118.287,0.2403,0.2403,48.2675,260.9106,0.7208,0.7208,68.3048,526.9503,1.2014,1.2014,139.0695,560.3016,1.6819,1.6819,337.8802,1017.9955,2.1625,2.1625,543.2114,1146.6712,2.643,2.643,667.6541,1389.1763,3.1236,3.1236,1075.7998,1434.2904,3.6041,3.6041,1271.4349,1673.1567,4.0847,4.0847,1454.6382,1712.5701,4.5652,4.5652
2026-02-15T00:30:00Z,ETH-USDT,2080.45,2080.45,2080.45,2080.45,238.112,0.01,476.214,0.2403,0.2403,98.3649,1054.4937,0.721,0.721,100.8603,1388.8977,1.2017,1.2017,104.3898,1552.5815,1.6823,1.6823,122.6791,1662.1141,2.163,2.163,246.9849,1993.2381,2.6437,2.6437,377.5831,2107.649,3.1243,3.1243,590.2443,2416.1255,3.605,3.605,908.3476,2459.7651,4.0857,4.0857,1181.9625,2546.1415,4.5663,4.5663
2026-02-15T00:35:00Z,ETH-USDT,2075.45,2075.45,2075.45,2075.45,91.3146,182.584,0.0452,0.2409,0.2409,272.517,6.7215,0.7227,0.7227,468.1453,42.9427,1.2046,1.2046,667.4779,89.3823,1.6864,1.6864,1030.2197,544.6912,2.1682,2.1682,1279.9745,719.0309,2.65,2.65,1415.81,1020.9471,3.1319,3.1319,1642.8544,1093.2468,3.6137,3.6137,1953.9285,1268.6985,4.0955,4.0955,2056.6106,1735.6197,4.5773,4.5773
2026-02-15T00:40:00Z,ETH-USDT,2075.35,2075.35,2075.35,2075.35,364.98515,120.4645,609.5058,0.2409,0.2409,120.4718,682.6219,0.7228,0.7228,123.1632,1018.0684,1.2046,1.2046,125.5893,1263.8779,1.6865,1.6865,126.304,1668.0816,2.1683,2.1683,248.542,1721.1348,2.6502,2.6502,522.8485,1827.9175,3.132,3.132,539.454,1975.1721,3.6138,3.6138,859.7835,1999.3072,4.0957,4.0957,1281.8278,2222.8139,4.5775,4.5775
