timestamp_utc,instrument_symbol,open_price,high_price,low_price,close_price,interval_traded_volume,bid_volume_level_1,ask_volume_level_1,bid_distance_level_1,ask_distance_level_1,bid_volume_level_2,ask_volume_level_2,bid_distance_level_2,ask_distance_level_2,bid_volume_level_3,ask_volume_level_3,bid_distance_level_3,ask_distance_level_3,bid_volume_level_4,ask_volume_level_4,bid_distance_level_4,ask_distance_level_4,bid_volume_level_5,ask_volume_level_5,bid_distance_level_5,ask_distance_level_5,bid_volume_level_6,ask_volume_level_6,bid_distance_level_6,ask_distance_level_6,bid_volume_level_7,ask_volume_level_7,bid_distance_level_7,ask_distance_level_7,bid_volume_level_8,ask_volume_level_8,bid_distance_level_8,ask_distance_level_8,bid_volume_level_9,ask_volume_level_9,bid_distance_level_9,ask_distance_level_9,bid_volume_level_10,ask_volume_level_10,bid_distance_level_10,ask_distance_level_10
2026-02-14T23:55:00Z,SOL-USDT,88.1065,88.1065,88.1065,88.1065,753.155,38.19,1468.12,0.0567,0.0567,50.55,1547.33,0.7377,0.1702,57.4,1631.18,1.3052,0.3972,227.67,2913.24,1.5322,0.5107,345.31,3028.03,1.6457,0.6242,402.1,3691.16,1.7592,0.7377,402.28,3912.61,1.8727,1.0782,452.97,4269.91,1.9862,1.1917,1134.44,4358.12,2.0997,1.3052,1245.56,5198.15,2.2132,1.5322
2026-02-15T00:00:00Z,SOL-USDT,88.0245,88.0245,88.0245,88.0245,1549.51,14.15,3084.87,0.0568,0.0568,70.98,3190.03,0.284,0.1704,83.47,3699.8,0.5112,0.284,83.65,3908.32,0.6248,0.3976,129.09,3911.35,0.7384,0.6248,129.27,3951.86,1.1928,0.7384,186.11,4134.41,1.3065,0.9656,188.56,4541.28,1.4201,1.0792,188.74,4598.22,1.7609,1.1928,359.17,5216.25,1.8745,1.3065
2026-02-15T00:05:00Z,SOL-USDT,87.8845,87.8845,87.8845,87.8845,914.495,117.43,1711.56,0.0569,0.0569,128.8,1725.47,0.512,0.1707,185.72,1781.46,0.6258,0.2845,208.13,1788.29,0.9672,0.3982,240.36,1847.49,1.4223,0.6258,345.62,1884.94,1.5361,0.7396,475.87,1935.21,1.8775,0.8534,495.9,1991.2,1.9912,0.9672,553.33,2003.06,2.2188,1.081,621.54,2059.05,2.3326,1.1947
2026-02-15T00:10:00Z,SOL-USDT,87.8475,87.8475,87.8475,87.8475,37.765,18.62,56.91,0.0569,0.0569,75.57,463.78,0.3984,0.2846,93.14,572.02,0.5123,0.3984,210.87,572.2,0.8538,0.5123,222.09,636.57,0.9676,0.9676,457.73,700.76,1.0814,1.1953,516.58,1754.95,1.1953,1.3091,773.92,2191.88,1.3091,1.4229,859.39,2192.06,1.4229,1.5368,905.45,2382.87,1.5368,1.6506
2026-02-15T00:15:00Z,SOL-USDT,88.2765,88.2765,88.2765,88.2765,389.125,113.34,664.91,0.0566,0.0566,170.01,702.08,0.2832,0.2832,212.25,741.29,0.623,0.3965,223.57,795.63,0.7363,0.7363,342.65,1202.68,0.8496,0.8496,512.58,1253.37,0.9629,0.9629,641.55,1307.71,1.0762,1.1894,1469.39,1307.84,1.1894,1.3027,1496.37,1308.01,1.3027,1.416,1560.25,1364.01,1.6426,1.6426
2026-02-15T00:20:00Z,SOL-USDT,88.0305,88.0305,88.0305,88.0305,882.895,1572.99,192.8,0.0568,0.0568,1654.46,599.67,0.1704,0.5112,1714.81,647.31,0.284,0.852,1733.22,753.16,0.852,0.9656,1805.79,868.51,0.9656,1.1928,1856.54,1239.47,1.1928,1.3064,1871.04,1980.54,1.42,1.42,1885.26,2053.83,1.5336,1.5336,1957.83,2060.92,1.6472,1.6472,2186.45,2098.78,1.7608,1.9879
2026-02-15T00:25:00Z,SOL-USDT,88.0475,88.0475,88.0475,88.0475,694.855,739.72,649.99,0.0568,0.0568,796.54,733.58,0.3975,0.1704,978.26,734.41,0.8518,0.2839,1035.08,869.11,0.9654,0.3975,1035.26,915.58,1.079,0.5111,1085.95,942.63,1.5333,0.6247,1086.13,1021.71,1.6468,0.7382,1768.02,1044.6,1.7604,0.8518,1931.06,1201.09,1.874,0.9654,1987.89,1669.39,2.1011,1.1925
2026-02-15T00:30:00Z,SOL-USDT,87.9305,87.9305,87.9305,87.9305,930.12,8.82,1851.42,0.0569,0.0569,9.0,2005.81,1.3079,0.1706,60.3,2804.67,1.4216,0.2843,117.2,3372.65,1.649,0.398,123.23,3443.61,1.7628,0.5118,123.41,3557.32,1.8765,0.7392,124.44,3984.11,1.9902,0.8529,175.13,4113.46,2.1039,0.9667,181.32,4184.42,2.2177,1.0804,181.5,4867.03,2.3314,1.1941
2026-02-15T00:35:00Z,SOL-USDT,87.8505,87.8505,87.8505,87.8505,212.295,101.77,322.82,0.0569,0.0569,272.64,359.18,0.2846,0.6261,366.86,423.46,0.3984,0.8537,396.05,601.57,0.7399,0.9676,396.23,780.59,0.8537,1.0814,452.06,879.76,1.0814,1.1952,509.19,917.92,1.4229,1.309,711.07,1457.82,1.7644,1.4229,830.43,1830.12,1.8782,1.5367,1200.77,1896.99,1.992,1.6505
2026-02-15T00:40:00Z,SOL-USDT,87.7915,87.7915,87.7915,87.7915,2311.32,0.18,4622.46,0.057,0.057,1.97,6290.34,0.6265,0.1709,58.95,7880.95,0.9682,0.2848,59.13,9551.98,1.0821,0.3987,64.61,11018.85,1.5377,0.5126,235.67,11040.39,1.6516,0.6265,292.66,11103.86,1.8795,0.7404,298.98,11510.19,1.9934,0.9682,408.04,11575.87,2.1073,1.0821,515.72,11866.13,2.2212,1.196
